name,params,desc
git.createTag,!owner;!repo;!tag;!message;!object;!type;tagger;tagger.name;tagger.email;tagger.date,"Create a tag object"
git.createTree,!owner;!repo;!tree;tree[].path;tree[].mode;tree[].type;tree[].sha;tree[].content;base_tree,"Create a tree"
DELETE,!owner;!repo;!ref,"Delete a reference"
git.getBlob,!owner;!repo;!file_sha,"Get a blob"
git.getCommit,!owner;!repo;!commit_sha,"Get a commit"
git.getRef,!owner;!repo;!ref,"Get a single reference"
git.getTag,!owner;!repo;!tag_sha,"Get a tag"
git.getTree,!owner;!repo;!tree_sha;recursive,"Get a tree"
git.listMatchingRefs,!owner;!repo;!ref;per_page;page,"List matching references"
git.updateRef,!owner;!repo;!ref;!sha;force,"Update a reference"
gitignore.getTemplate,!name,"Get a single template"
gitignore.listTemplates,,"Listing available templates"
interactions.addOrUpdateRestrictionsForOrg,!org;!limit,"Add or update interaction restrictions for an organization"
interactions.addOrUpdateRestrictionsForRepo,!owner;!repo;!limit,"Add or update interaction restrictions for a repository"
interactions.getRestrictionsForOrg,!org,"Get interaction restrictions for an organization"
interactions.getRestrictionsForRepo,!owner;!repo,"Get interaction restrictions for a repository"
interactions.removeRestrictionsForOrg,!org,"Remove interaction restrictions for an organization"
interactions.removeRestrictionsForRepo,!owner;!repo,"Remove interaction restrictions for a repository"
issues.addAssignees,!owner;!repo;!issue_number;assignees,"Add assignees to an issue"
issues.addLabels,!owner;!repo;!issue_number;!labels,"Add labels to an issue"
issues.checkAssignee,!owner;!repo;!assignee,"Check assignee"
issues.create,!owner;!repo;!title;body;assignee;milestone;labels;assignees,"Create an issue"
issues.createComment,!owner;!repo;!issue_number;!body,"Create a comment"
issues.createLabel,!owner;!repo;!name;!color;description,"Create a label"
issues.createMilestone,!owner;!repo;!title;state;description;due_on,"Create a milestone"
issues.deleteComment,!owner;!repo;!comment_id,"Delete a comment"
issues.deleteLabel,!owner;!repo;!name,"Delete a label"
issues.deleteMilestone,!owner;!repo;!milestone_number,"Delete a milestone"
issues.get,!owner;!repo;!issue_number,"Get a single issue"
issues.getComment,!owner;!repo;!comment_id,"Get a single comment"
issues.getEvent,!owner;!repo;!event_id,"Get a single event"
issues.getLabel,!owner;!repo;!name,"Get a single label"
issues.getMilestone,!owner;!repo;!milestone_number,"Get a single milestone"
issues.list,filter;state;labels;sort;direction;since;per_page;page,"List all issues assigned to the authenticated user across all visible repositories including owned repositories, member repositories, and organization repositories"
issues.listAssignees,!owner;!repo;per_page;page,"List assignees"
issues.listComments,!owner;!repo;!issue_number;since;per_page;page,"List comments on an issue"
issues.listCommentsForRepo,!owner;!repo;sort;direction;since;per_page;page,"List comments in a repository"
